MeasurementId,Technology,Latitude,Longitude,RSRQ,RSRP,RSSI,Network_Operator
1245,lte-m,55.783387,12.523738,12,67,31,Telia
1246,lte-m,55.783780,12.523917,12,48,25,Telia
1255,lte-m,55.783778,12.524365,16,54,28,Telia
1256,lte-m,55.783762,12.524128,12,54,28,Telia
1257,lte-m,55.784586,12.524414,6,52,29,Telia
1258,lte-m,55.784928,12.524588,14,53,27,Telia
1259,lte-m,55.785335,12.524731,10,58,31,Telia
1260,lte-m,55.785212,12.523090,14,56,29,Telia
1261,lte-m,55.785440,12.522063,8,54,29,Telia
1262,lte-m,55.785598,12.521310,12,58,30,Telia
1263,lte-m,55.785693,12.521023,22,60,29,Telia
1264,lte-m,55.785829,12.520413,22,61,30,Telia
1265,lte-m,55.785948,12.519617,24,61,29,Telia
1266,lte-m,55.786107,12.519215,26,58,27,Telia
1267,lte-m,55.786211,12.517890,22,64,31,Telia
1268,lte-m,55.786405,12.517401,22,61,30,Telia
1269,lte-m,55.786464,12.516295,26,62,29,Telia
1270,lte-m,55.786556,12.515997,26,51,23,Telia
1271,lte-m,55.786434,12.514860,20,41,20,Telia
1272,lte-m,55.786501,12.514628,16,43,22,Telia
1273,lte-m,55.786079,12.514480,24,40,19,Telia
1274,lte-m,55.785675,12.514509,10,36,20,Telia
1275,lte-m,55.785343,12.514124,22,42,20,Telia
1276,lte-m,55.784942,12.513606,20,47,23,Telia
1277,lte-m,55.784525,12.513471,22,48,23,Telia
1278,lte-m,55.784154,12.512902,26,56,26,Telia
1279,lte-m,55.783734,12.512550,10,60,31,Telia
1280,lte-m,55.783240,12.512105,24,64,30,Telia
1282,lte-m,55.782400,12.511190,24,59,28,Telia
1283,lte-m,55.782141,12.511134,24,64,31,Telia
1284,lte-m,55.781622,12.510998,12,63,31,Telia
1285,lte-m,55.781315,12.511309,24,58,28,Telia
1286,lte-m,55.781083,12.511932,22,53,25,Telia
1287,lte-m,55.781058,12.512416,10,49,26,Telia
1288,lte-m,55.781042,12.513443,12,43,23,Telia
1289,lte-m,55.780903,12.514076,18,41,21,Telia
1290,lte-m,55.780842,12.515124,16,45,23,Telia
1291,lte-m,55.780756,12.516116,6,42,24,Telia
1292,lte-m,55.780697,12.517002,22,43,20,Telia
1295,lte-m,55.781760,12.517934,16,36,19,Telia
1300,lte-m,55.782118,12.518263,12,58,30,Telia
1301,lte-m,55.781977,12.518579,16,56,29,Telia
1302,lte-m,55.781902,12.518638,10,62,31,Telia
1303,lte-m,55.782038,12.518489,20,61,30,Telia
1304,lte-m,55.781961,12.518752,16,59,30,Telia
