"Radius (Computed location)";"Longitude (Computed location)";"Latitude (Computed location)";"Source (Computed location)";"Country";"Data";"Link Quality Indicator";"Link Quality Indicator repeaters";"Operator";"RSSI1 (Receiver info)";"NapmId1 (Receiver info)";"Station ID1 (Receiver info)";"GetRssiRepeaters2Display1 (Receiver info)";"Delay1 (Receiver info)";"RSSI2 (Receiver info)";"NapmId2 (Receiver info)";"Station ID2 (Receiver info)";"GetRssiRepeaters2Display2 (Receiver info)";"Delay2 (Receiver info)";"RSSI3 (Receiver info)";"NapmId3 (Receiver info)";"Station ID3 (Receiver info)";"GetRssiRepeaters2Display3 (Receiver info)";"Delay3 (Receiver info)";"RSSI4 (Receiver info)";"NapmId4 (Receiver info)";"Station ID4 (Receiver info)";"GetRssiRepeaters2Display4 (Receiver info)";"Delay4 (Receiver info)";"Sequence number";"Timestamp"
;;;;"";"410000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-127.00";"0000";"23EA";"N/A";"1.17";"-126.00";"0000";"2A55";"N/A";"1.712";"-121.00";"0000";"2A87";"N/A";"0.665";"-122.00";"0000";"23E8";"N/A";"0.729";"85";"2021-07-01 13:10:59"
;;;;"";"410000";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-127.00";"0000";"23EA";"N/A";"0.772";;;;;;;;;;;;;;;;"83";"2021-07-01 13:06:24"
;;;;"";"df0022";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-116.00";"0000";"23E8";"N/A";"1.38";;;;;;;;;;;;;;;;"82";"2021-07-01 13:04:48"
;;;;"";"df0016";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-116.00";"0000";"23EA";"N/A";"1.978";;;;;;;;;;;;;;;;"76";"2021-07-01 12:57:08"
;;;;"";"df0014";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-116.00";"0000";"23EA";"N/A";"0.776";;;;;;;;;;;;;;;;"74";"2021-07-01 12:54:54"
;;;;"";"df0013";"Average";"N/A";"SIGFOX_Denmark_IOTDK";"-122.00";"0000";"23EA";"N/A";"1.436";;;;;;;;;;;;;;;;"73";"2021-07-01 12:53:47"
;;;;"";"df0012";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-116.00";"0000";"23EA";"N/A";"0.844";;;;;;;;;;;;;;;;"72";"2021-07-01 12:52:14"
;;;;"";"df0011";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-109.00";"0000";"23EA";"N/A";"1.15";;;;;;;;;;;;;;;;"71";"2021-07-01 12:51:05"
;;;;"";"df0010";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-119.00";"0000";"2A87";"N/A";"1.006";"-112.00";"0000";"23EA";"N/A";"1.446";;;;;;;;;;;"70";"2021-07-01 12:50:03"
;;;;"";"df0009";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-102.00";"0000";"23EA";"N/A";"0.833";;;;;;;;;;;;;;;;"69";"2021-07-01 12:48:47"
;;;;"";"df0008";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-105.00";"0000";"23EA";"N/A";"2.043";;;;;;;;;;;;;;;;"68";"2021-07-01 12:47:28"
;;;;"";"df0006";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-89.00";"0000";"23EA";"N/A";"1.631";;;;;;;;;;;;;;;;"66";"2021-07-01 12:45:04"
;;;;"";"df0005";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-91.00";"0000";"23EA";"N/A";"2.121";"-119.00";"0000";"2A87";"N/A";"0.967";;;;;;;;;;;"65";"2021-07-01 12:43:54"
;;;;"";"df0004";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-95.00";"0000";"23EA";"N/A";"2.141";"-120.00";"0000";"2A87";"N/A";"1.09";"-128.00";"0000";"37E9";"N/A";"1.658";;;;;;"64";"2021-07-01 12:42:41"
;;;;"";"df0003";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-89.00";"0000";"23EA";"N/A";"1.541";"-124.00";"0000";"2A87";"N/A";"0.429";"-131.00";"0000";"29D1";"N/A";"0.457";;;;;;"63";"2021-07-01 12:41:21"
;;;;"";"df0002";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-93.00";"0000";"23EA";"N/A";"1.441";;;;;;;;;;;;;;;;"62";"2021-07-01 12:40:03"
;;;;"";"df0001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-100.00";"0000";"23EA";"N/A";"1.733";"-122.00";"0000";"2A87";"N/A";"1.48";;;;;;;;;;;"61";"2021-07-01 12:38:50"
;;;;"";"df0001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-98.00";"0000";"23EA";"N/A";"1.733";;;;;;;;;;;;;;;;"60";"2021-07-01 12:37:10"
;;;;"";"df0000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-90.00";"0000";"23EA";"N/A";"1.254";"-124.00";"0000";"2A87";"N/A";"1.152";;;;;;;;;;;"59";"2021-07-01 12:36:06"
;;;;"";"df0001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-89.00";"0000";"23EA";"N/A";"1.023";"-117.00";"0000";"2A87";"N/A";"1.047";"-128.00";"0000";"29D1";"N/A";"2.013";;;;;;"58";"2021-07-01 12:35:06"
;;;;"";"270001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-92.00";"0000";"23EA";"N/A";"0.923";;;;;;;;;;;;;;;;"57";"2021-07-01 12:33:00"
;;;;"";"270000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-98.00";"0000";"23EA";"N/A";"1.013";;;;;;;;;;;;;;;;"56";"2021-07-01 12:31:46"
;;;;"";"270001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-90.00";"0000";"23EA";"N/A";"1.893";"-132.00";"0000";"37E9";"N/A";"0.924";;;;;;;;;;;"55";"2021-07-01 12:30:31"
;;;;"";"270000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-89.00";"0000";"23EA";"N/A";"1.893";;;;;;;;;;;;;;;;"54";"2021-07-01 12:29:17"
;;;;"";"270002";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-89.00";"0000";"23EA";"N/A";"0.913";"-123.00";"0000";"2A87";"N/A";"0.897";;;;;;;;;;;"53";"2021-07-01 12:27:10"
;;;;"";"270001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-87.00";"0000";"23EA";"N/A";"1.304";"-119.00";"0000";"2A87";"N/A";"1.167";"-130.00";"0000";"29D1";"N/A";"1.799";;;;;;"52";"2021-07-01 12:25:59"
;;;;"";"270000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-88.00";"0000";"23EA";"N/A";"0.913";;;;;;;;;;;;;;;;"51";"2021-07-01 12:24:55"
;;;;"";"270001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-87.00";"0000";"23EA";"N/A";"1.833";"-118.00";"0000";"2A87";"N/A";"1.804";"-131.00";"0000";"29D1";"N/A";"1.715";;;;;;"50";"2021-07-01 12:23:41"
;;;;"";"270000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-126.00";"0000";"29D1";"N/A";"1.909";"-91.00";"0000";"23EA";"N/A";"0.616";"-117.00";"0000";"2A87";"N/A";"2.807";"-131.00";"0000";"37E9";"N/A";"0.834";"49";"2021-07-01 12:22:30"
;;;;"";"270006";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-97.00";"0000";"23EA";"N/A";"1.122";;;;;;;;;;;;;;;;"48";"2021-07-01 12:20:39"
;;;;"";"270005";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-96.00";"0000";"23EA";"N/A";"1.402";;;;;;;;;;;;;;;;"47";"2021-07-01 12:19:44"
;;;;"";"270004";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-93.00";"0000";"23EA";"N/A";"1.102";;;;;;;;;;;;;;;;"46";"2021-07-01 12:18:55"
;;;;"";"270003";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-92.00";"0000";"23EA";"N/A";"0.984";;;;;;;;;;;;;;;;"45";"2021-07-01 12:18:09"
;;;;"";"270002";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-88.00";"0000";"23EA";"N/A";"1.346";"-130.00";"0000";"29D1";"N/A";"1.617";"-116.00";"0000";"2A87";"N/A";"1.193";;;;;;"44";"2021-07-01 12:17:27"
;;;;"";"270001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-90.00";"0000";"23EA";"N/A";"0.823";;;;;;;;;;;;;;;;"43";"2021-07-01 12:16:22"
;;;;"";"270000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-93.00";"0000";"23EA";"N/A";"0.703";"-134.00";"0000";"29D1";"N/A";"0.587";;;;;;;;;;;"42";"2021-07-01 12:15:35"
;;;;"";"df0000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-94.00";"0000";"23EA";"N/A";"1.096";;;;;;;;;;;;;;;;"41";"2021-07-01 11:36:49"
;;;;"";"f50001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-88.00";"0000";"23EA";"N/A";"2.264";"-118.00";"0000";"2A87";"N/A";"1.377";;;;;;;;;;;"40";"2021-07-01 11:25:30"
;;;;"";"f50000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-99.00";"0000";"23EA";"N/A";"0.995";;;;;;;;;;;;;;;;"39";"2021-07-01 11:14:30"
;;;;"";"730000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-92.00";"0000";"23EA";"N/A";"1.335";"-129.00";"0000";"29D1";"N/A";"1.278";;;;;;;;;;;"38";"2021-07-01 11:13:41"
;;;;"";"f50000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-92.00";"0000";"23EA";"N/A";"1.235";"-119.00";"0000";"2A87";"N/A";"0.709";"-131.00";"0000";"29D1";"N/A";"0.693";;;;;;"37";"2021-07-01 11:13:07"
;;;;"";"730002";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-89.00";"0000";"23EA";"N/A";"2.053";"-129.00";"0000";"29D1";"N/A";"1.941";;;;;;;;;;;"36";"2021-07-01 11:10:33"
;;;;"";"730001";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-95.00";"0000";"23EA";"N/A";"1.472";"-124.00";"0000";"2A87";"N/A";"0.766";"-135.00";"0000";"29D1";"N/A";"2.432";"-136.00";"0000";"37E9";"N/A";"1.376";"35";"2021-07-01 11:09:26"
;;;;"";"730000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-97.00";"0000";"23EA";"N/A";"1.372";;;;;;;;;;;;;;;;"34";"2021-07-01 11:08:31"
;;;;"";"730000";"Good";"N/A";"SIGFOX_Denmark_IOTDK";"-94.00";"0000";"23EA";"N/A";"0.584";"-120.00";"0000";"2A87";"N/A";"0.506";;;;;;;;;;;"33";"2021-07-01 11:03:17"
